,CD4,TH | Median (Comp-PE-A),naive_TH | Median (Comp-PE-A),memory_TH | Median (Comp-PE-A),TFH | Median (Comp-PE-A),naive_TFH | Median (Comp-PE-A),memory_TFH | Median (Comp-PE-A),Treg | Median (Comp-PE-A),CD45RApos_Treg | Median (Comp-PE-A),CD45RAneg_Treg | Median (Comp-PE-A),TFR | Median (Comp-PE-A),CD45RApos_TFR | Median (Comp-PE-A),CD45RAneg_TFR | Median (Comp-PE-A),
H40_HBsAg_Time_Point_60_CD4 T cells.fcs,122,108,71.2,205,88.2,74.0,93.9,495,248,1255,371,285,400,
H41_NC_Time_Point_60_CD4 T cells.fcs,142,134,108,222,114,99.6,122,285,117,542,165,137,245,
H41_HBsAg_Time_Point_60_CD4 T cells.fcs,134,122,93.9,214,117,122,114,342,174,559,308,305,308,
H42_NC_Time_Point_60_CD4 T cells.fcs,179,179,162,199,122,145,120,317,165,475,194,194,194,
H42_HBsAg_Time_Point_60_CD4 T cells.fcs,108,105,88.2,125,51.2,91.1,45.5,305,151,455,237,217,242,
H02_NC_Time_Point_180_CD4 T cells.fcs,194,185,148,259,165,154,168,383,182,871,179,125,328,
H02_PC_Time_Point_180_CD4 T cells.fcs,510,429,322,859,577,548,583,1080,650,2575,1064,1291,981,
H02_HBsAg_Time_Point_180_CD4 T cells.fcs,202,191,151,274,182,174,182,411,211,901,265,208,377,
H03_NC_Time_Point_180_CD4 T cells.fcs,174,157,111,202,134,174,125,760,211,1377,288,314,245,
H03_HBsAg_Time_Point_180_CD4 T cells.fcs,205,188,137,239,179,219,171,843,254,1581,277,305,257,
H04_NC_Time_Point_180_CD4 T cells.fcs,214,208,188,219,157,214,142,466,228,556,325,328,305,
H04_HBsAg_Time_Point_180_CD4 T cells.fcs,282,279,257,291,231,274,219,481,257,568,328,337,297,
H06_NC_Time_Point_180_CD4 T cells.fcs,177,168,74.0,279,108,105,111,671,74.0,1343,185,134,254,
H06_HBsAg_Time_Point_180_CD4 T cells.fcs,185,174,76.8,274,137,148,134,828,171,1645,388,380,388,
H07_NC_Time_Point_180_CD4 T cells.fcs,122,120,71.2,168,88.2,74.0,91.1,262,93.9,426,151,114,179,
H07_HBsAg_Time_Point_180_CD4 T cells.fcs,148,145,85.4,199,125,105,134,305,140,472,179,165,197,
H08_NC_Time_Point_180_CD4 T cells.fcs,165,154,125,208,108,105,108,374,140,600,128,108,168,
H08_HBsAg_Time_Point_180_CD4 T cells.fcs,179,168,134,228,134,128,134,423,177,665,125,131,108,
H10_NC_Time_Point_180_CD4 T cells.fcs,102,96.8,82.5,157,65.5,76.8,59.8,268,88.2,650,108,82.5,137,
H10_HBsAg_Time_Point_180_CD4 T cells.fcs,145,137,117,219,134,134,134,354,165,777,171,145,234,
H11_NC_Time_Point_180_CD4 T cells.fcs,174,165,125,225,137,134,137,449,165,996,179,154,248,
H11_HBsAg_Time_Point_180_CD4 T cells.fcs,199,188,142,254,182,179,185,484,217,1049,297,271,391,
H13_NC_Time_Point_180_CD4 T cells.fcs,93.9,85.4,65.5,131,56.9,68.3,54.1,265,76.8,521,102,93.9,122,
H13_HBsAg_Time_Point_180_CD4 T cells.fcs,145,134,105,191,122,128,122,406,185,783,242,222,257,
H14_NC_Time_Point_180_CD4 T cells.fcs,14.2,-2.85,-25.6,128,31.3,85.4,-14.2,417,37.0,1127,185,168,197,
H14_HBsAg_Time_Point_180_CD4 T cells.fcs,45.5,31.3,5.69,162,71.2,125,31.3,466,105,1245,251,231,299,
H17_NC_Time_Point_180_CD4 T cells.fcs,191,185,165,222,165,191,157,302,168,481,242,217,268,
H17_HBsAg_Time_Point_180_CD4 T cells.fcs,225,217,179,279,222,228,219,368,239,577,328,305,365,
H18_NC_Time_Point_180_CD4 T cells.fcs,182,177,140,291,159,120,174,440,197,609,154,185,148,
H18_HBsAg_Time_Point_180_CD4 T cells.fcs,214,205,157,322,214,165,237,452,242,597,334,285,435,
H19_NC_Time_Point_180_CD4 T cells.fcs,182,171,111,248,142,99.6,154,519,165,913,214,120,342,
H19_HBsAg_Time_Point_180_CD4 T cells.fcs,217,202,140,288,199,145,214,586,231,1033,342,251,432,
H20_NC_Time_Point_180_CD4 T cells.fcs,140,137,102,202,111,85.4,120,354,114,730,140,114,179,
H20_HBsAg_Time_Point_180_CD4 T cells.fcs,248,239,202,320,239,217,245,521,242,1042,311,251,403,
H21_NC_Time_Point_180_CD4 T cells.fcs,199,191,134,337,154,122,162,580,177,1717,234,211,291,
H21_HBsAg_Time_Point_180_CD4 T cells.fcs,214,205,142,357,188,151,202,650,217,1964,279,234,417,
H22_NC_Time_Point_180_CD4 T cells.fcs,177,174,162,251,162,157,162,340,171,801,225,225,171,
H22_HBsAg_Time_Point_180_CD4 T cells.fcs,151,145,125,231,179,111,194,411,199,739,308,148,308,
H23_NC_Time_Point_180_CD4 T cells.fcs,185,174,134,277,171,125,182,383,154,984,205,154,314,
H23_HBsAg_Time_Point_180_CD4 T cells.fcs,234,217,171,357,245,199,257,519,262,1255,340,274,521,
H24_NC_Time_Point_180_CD4 T cells.fcs,117,114,68.3,177,62.6,82.5,56.9,388,56.9,715,102,125,62.6,
H24_HBsAg_Time_Point_180_CD4 T cells.fcs,122,117,71.2,171,68.3,68.3,68.3,423,105,763,108,128,79.7,
H25_NC_Time_Point_180_CD4 T cells.fcs,140,131,99.6,197,111,102,111,274,142,524,194,188,208,
H25_HBsAg_Time_Point_180_CD4 T cells.fcs,159,142,102,248,140,142,140,363,211,662,285,274,288,
H26_NC_Time_Point_180_CD4 T cells.fcs,185,174,137,225,140,122,145,562,140,956,222,202,285,
H26_HBsAg_Time_Point_180_CD4 T cells.fcs,199,188,142,245,159,159,159,629,197,1018,254,214,380,
H28_NC_Time_Point_180_CD4 T cells.fcs,197,194,162,251,154,142,157,400,145,638,225,157,291,
H28_HBsAg_Time_Point_180_CD4 T cells.fcs,214,202,162,285,185,151,191,571,225,1033,406,302,539,
H29_NC_Time_Point_180_CD4 T cells.fcs,214,194,131,262,174,168,174,959,340,1464,248,234,259,
H29_HBsAg_Time_Point_180_CD4 T cells.fcs,231,208,140,279,194,202,191,1223,452,1757,342,285,481,
H30_NC_Time_Point_180_CD4 T cells.fcs,125,111,51.2,177,76.8,79.7,76.8,865,105,1340,177,96.8,214,
H30_PC_Time_Point_180_CD4 T cells.fcs,559,484,257,1089,721,533,751,2363,662,4159,1557,1474,1595,
H30_HBsAg_Time_Point_180_CD4 T cells.fcs,111,99.6,39.8,171,54.1,59.8,51.2,850,111,1310,188,140,214,
H31_NC_Time_Point_180_CD4 T cells.fcs,85.4,79.7,37.0,165,65.5,17.1,76.8,225,56.9,475,157,102,214,
H31_HBsAg_Time_Point_180_CD4 T cells.fcs,85.4,76.8,34.1,179,74.0,51.2,79.7,314,108,656,228,202,317,
H32_NC_Time_Point_180_CD4 T cells.fcs,177,179,71.2,205,117,120,117,548,76.8,724,171,120,202,
H32_HBsAg_Time_Point_180_CD4 T cells.fcs,197,197,74.0,225,137,140,137,916,165,1291,400,237,524,
H33_NC_Time_Point_180_CD4 T cells.fcs,125,120,62.6,182,93.9,62.6,99.6,340,91.1,527,151,79.7,191,
H33_HBsAg_Time_Point_180_CD4 T cells.fcs,120,105,42.7,188,85.4,62.6,93.9,411,79.7,662,222,134,288,
H34_NC_Time_Point_180_CD4 T cells.fcs,120,108,88.2,199,68.3,76.8,51.2,472,194,1390,199,202,171,
H34_PC_Time_Point_180_CD4 T cells.fcs,487,432,400,822,1181,1168,1187,3718,2380,5791,4657,5029,4370,
H34_HBsAg_Time_Point_180_CD4 T cells.fcs,122,108,85.4,217,74.0,85.4,59.8,629,285,2115,368,377,337,
H35_NC_Time_Point_180_CD4 T cells.fcs,199,191,168,251,179,171,182,458,185,751,231,202,262,
H35_HBsAg_Time_Point_180_CD4 T cells.fcs,68.3,51.2,19.9,142,31.3,48.4,25.6,609,154,1207,174,151,225,
H36_NC_Time_Point_180_CD4 T cells.fcs,99.6,93.9,76.8,174,31.3,28.5,31.3,222,74.0,603,128,99.6,205,
H36_HBsAg_Time_Point_180_CD4 T cells.fcs,-25.6,-34.1,-48.4,28.5,-102,-79.7,-114,177,-8.54,733,65.5,39.8,142,
H38_NC_Time_Point_180_CD4 T cells.fcs,117,114,85.4,168,76.8,59.8,79.7,331,125,559,134,105,148,
H38_HBsAg_Time_Point_180_CD4 T cells.fcs,54.1,54.1,11.4,117,11.4,5.69,14.2,406,71.2,757,148,79.7,182,
H39_NC_Time_Point_180_CD4 T cells.fcs,122,114,91.1,174,88.2,125,71.2,472,134,916,251,248,257,
H39_HBsAg_Time_Point_180_CD4 T cells.fcs,128,117,91.1,179,88.2,117,74.0,583,171,1297,322,274,461,
H40_NC_Time_Point_180_CD4 T cells.fcs,42.7,39.8,17.1,76.8,0,39.8,-8.54,211,42.7,449,25.6,28.5,17.1,
H40_HBsAg_Time_Point_180_CD4 T cells.fcs,71.2,65.5,37.0,114,25.6,62.6,19.9,320,122,697,185,219,134,
H41_NC_Time_Point_180_CD4 T cells.fcs,120,111,91.1,171,102,117,96.8,254,114,463,174,168,185,
H41_HBsAg_Time_Point_180_CD4 T cells.fcs,125,114,91.1,188,111,120,105,308,168,527,202,154,299,
H42_NC_Time_Point_180_CD4 T cells.fcs,108,111,96.8,122,39.8,54.1,37.0,274,93.9,420,125,151,117,
H42_HBsAg_Time_Point_180_CD4 T cells.fcs,85.4,82.5,68.3,102,19.9,68.3,11.4,305,111,463,214,285,159,
H02_NC_Time_Point_365_CD4 T cells.fcs,205,197,151,308,188,177,188,519,239,1262,245,162,423,
H02_HBsAg_Time_Point_365_CD4 T cells.fcs,242,225,177,348,242,199,251,612,308,1543,391,271,632,
H03_NC_Time_Point_365_CD4 T cells.fcs,197,182,131,231,145,122,151,680,271,1203,274,202,342,
H03_HBsAg_Time_Point_365_CD4 T cells.fcs,257,237,177,299,231,197,239,828,397,1546,437,371,588,
H04_NC_Time_Point_365_CD4 T cells.fcs,234,228,191,245,168,174,165,635,208,877,245,237,277,
H04_PC_Time_Point_365_CD4 T cells.fcs,559,524,380,638,461,536,455,2256,742,2892,1039,1049,974,
H04_HBsAg_Time_Point_365_CD4 T cells.fcs,259,251,211,271,199,208,199,718,254,996,302,282,328,
H06_NC_Time_Point_365_CD4 T cells.fcs,337,334,237,411,282,225,294,831,242,1945,348,259,429,
H06_HBsAg_Time_Point_365_CD4 T cells.fcs,231,225,128,302,159,99.6,174,780,239,1553,397,277,484,
H07_NC_Time_Point_365_CD4 T cells.fcs,137,131,76.8,179,99.6,88.2,102,469,128,682,205,137,277,
H07_PC_Time_Point_365_CD4 T cells.fcs,409,371,297,542,449,417,452,1149,472,1749,928,656,1021,
H07_HBsAg_Time_Point_365_CD4 T cells.fcs,208,199,131,259,179,145,185,580,217,798,288,219,374,
H08_NC_Time_Point_365_CD4 T cells.fcs,165,157,125,199,117,102,122,481,171,571,157,142,171,
H08_HBsAg_Time_Point_365_CD4 T cells.fcs,197,185,145,239,159,137,168,594,271,700,248,245,248,
H10_NC_Time_Point_365_CD4 T cells.fcs,120,111,91.1,185,88.2,82.5,88.2,360,108,795,134,108,171,
H10_HBsAg_Time_Point_365_CD4 T cells.fcs,151,142,120,219,140,122,145,383,162,834,159,120,225,
H11_NC_Time_Point_365_CD4 T cells.fcs,142,134,102,179,99.6,93.9,99.6,429,122,862,145,120,179,
H11_HBsAg_Time_Point_365_CD4 T cells.fcs,171,159,120,214,140,122,145,513,171,981,237,214,262,
H13_NC_Time_Point_365_CD4 T cells.fcs,131,128,108,182,108,108,108,277,105,621,134,131,137,
H13_HBsAg_Time_Point_365_CD4 T cells.fcs,148,140,108,219,137,137,137,394,188,877,337,305,394,
H14_NC_Time_Point_365_R_CD4 T cells.fcs,108,105,88.2,174,71.2,65.5,76.8,495,157,792,234,219,279,
H14_HBsAg_Time_Point_365_R_CD4 T cells.fcs,168,159,137,239,185,211,174,688,285,859,294,0,583,
H17_NC_Time_Point_365_CD4 T cells.fcs,154,145,128,182,134,171,120,254,125,446,237,219,285,
H17_HBsAg_Time_Point_365_CD4 T cells.fcs,191,182,157,225,199,248,188,322,219,490,374,386,360,
H18_NC_Time_Point_365_CD4 T cells.fcs,162,154,111,251,154,114,174,386,128,539,231,197,239,
H18_HBsAg_Time_Point_365_CD4 T cells.fcs,194,185,140,274,214,134,234,394,214,580,285,268,285,
H19_NC_Time_Point_365_CD4 T cells.fcs,228,211,134,291,188,125,199,659,199,1114,259,219,354,
H19_HBsAg_Time_Point_365_CD4 T cells.fcs,268,248,157,328,231,145,245,786,257,1294,386,271,539,
H20_NC_Time_Point_365_CD4 T cells.fcs,151,145,105,208,120,102,125,311,114,615,145,131,174,
H20_HBsAg_Time_Point_365_CD4 T cells.fcs,154,145,105,211,128,111,131,325,117,644,157,145,182,
H21_NC_Time_Point_365_CD4 T cells.fcs,219,211,128,363,154,131,165,533,182,1505,231,214,262,
H21_HBsAg_Time_Point_365_CD4 T cells.fcs,234,222,140,374,179,154,188,606,211,1735,228,188,325,
H22_NC_Time_Point_365_CD4 T cells.fcs,140,131,117,199,114,114,114,423,145,1281,231,231,237,
H22_HBsAg_Time_Point_365_CD4 T cells.fcs,162,151,134,237,159,165,159,536,254,1659,386,397,360,
H23_NC_Time_Point_365_CD4 T cells.fcs,188,179,134,285,188,137,199,340,154,919,165,122,239,
H23_HBsAg_Time_Point_365_CD4 T cells.fcs,211,194,145,325,219,191,234,449,191,1294,245,208,354,
H24_NC_Time_Point_365_CD4 T cells.fcs,140,134,88.2,185,93.9,117,85.4,348,91.1,777,120,137,85.4,
H24_HBsAg_Time_Point_365_CD4 T cells.fcs,108,96.8,42.7,162,45.5,76.8,34.1,397,120,853,128,134,122,
H25_NC_Time_Point_365_CD4 T cells.fcs,148,140,105,194,125,131,125,285,137,513,188,185,194,
H25_HBsAg_Time_Point_365_CD4 T cells.fcs,157,140,93.9,231,142,140,142,380,219,627,268,274,268,
H26_NC_Time_Point_365_CD4 T cells.fcs,185,174,134,211,134,108,145,583,159,1102,219,171,308,
H26_HBsAg_Time_Point_365_CD4 T cells.fcs,251,242,202,271,225,208,231,700,259,1370,328,274,406,
H28_NC_Time_Point_365_CD4 T cells.fcs,202,194,151,242,159,145,162,507,171,810,262,197,320,
H28_PC_Time_Point_365_CD4 T cells.fcs,706,536,314,1478,807,603,865,1413,606,2954,1423,1444,1417,
H28_HBsAg_Time_Point_365_CD4 T cells.fcs,248,231,174,299,228,197,234,724,297,1502,516,400,615,
H29_NC_Time_Point_365_CD4 T cells.fcs,214,191,137,251,179,165,182,837,345,1288,257,219,345,
H29_HBsAg_Time_Point_365_CD4 T cells.fcs,237,208,140,285,208,179,214,1099,458,1655,458,443,472,
H30_NC_Time_Point_365_CD4 T cells.fcs,108,99.6,37.0,171,59.8,68.3,56.9,553,79.7,950,222,191,251,
H30_HBsAg_Time_Point_365_CD4 T cells.fcs,74.0,62.6,2.85,137,37.0,62.6,28.5,600,105,1033,208,125,302,
H31_NC_Time_Point_365_CD4 T cells.fcs,99.6,91.1,22.8,182,62.6,45.5,68.3,328,79.7,603,294,302,282,
H31_HBsAg_Time_Point_365_CD4 T cells.fcs,140,131,59.8,214,117,91.1,122,400,162,724,288,268,308,
H32_NC_Time_Point_365_CD4 T cells.fcs,171,174,65.5,188,108,108,108,709,99.6,916,245,165,282,
H32_HBsAg_Time_Point_365_CD4 T cells.fcs,194,191,54.1,211,128,137,128,1505,311,1976,650,435,813,
H33_NC_Time_Point_365_CD4 T cells.fcs,125,114,42.7,179,79.7,62.6,82.5,380,91.1,583,199,131,231,
H33_HBsAg_Time_Point_365_CD4 T cells.fcs,145,131,48.4,208,102,71.2,111,437,114,674,248,202,274,
H34_NC_Time_Point_365_CD4 T cells.fcs,125,105,76.8,197,68.3,71.2,62.6,571,225,1461,259,239,351,
H34_HBsAg_Time_Point_365_CD4 T cells.fcs,171,142,105,262,105,105,102,913,432,2385,583,586,548,
H35_NC_Time_Point_365_CD4 T cells.fcs,111,93.9,59.8,171,65.5,74.0,62.6,586,125,990,188,165,219,
H35_HBsAg_Time_Point_365_CD4 T cells.fcs,120,96.8,56.9,188,65.5,82.5,62.6,910,242,1738,383,288,458,
H36_NC_Time_Point_365_CD4 T cells.fcs,11.4,2.85,-8.54,45.5,-74.0,-54.1,-85.4,188,8.54,609,17.1,25.6,-5.69,
H36_HBsAg_Time_Point_365_CD4 T cells.fcs,-39.8,-51.2,-65.5,0,-117,-76.8,-134,168,-25.6,650,59.8,79.7,25.6,
H38_NC_Time_Point_365_CD4 T cells.fcs,194,191,165,237,165,142,168,397,171,769,185,142,248,
H38_HBsAg_Time_Point_365_CD4 T cells.fcs,122,117,74.0,191,88.2,62.6,93.9,414,117,862,242,231,245,
H39_NC_Time_Point_365_CD4 T cells.fcs,140,128,108,188,88.2,108,76.8,484,179,1301,208,194,245,
H39_HBsAg_Time_Point_365_CD4 T cells.fcs,174,157,128,239,134,142,128,680,268,1823,420,388,516,
H40_NC_Time_Point_365_CD4 T cells.fcs,111,105,68.3,159,59.8,48.4,62.6,317,137,632,182,177,185,
H40_HBsAg_Time_Point_365_CD4 T cells.fcs,131,120,74.0,191,91.1,82.5,93.9,527,274,1105,414,406,440,
H41_NC_Time_Point_365_CD4 T cells.fcs,76.8,65.5,39.8,122,34.1,48.4,31.3,282,79.7,565,165,182,148,
H41_HBsAg_Time_Point_365_CD4 T cells.fcs,134,114,74.0,208,111,122,108,409,179,736,294,337,225,
H42_NC_Time_Point_365_CD4 T cells.fcs,102,105,85.4,120,54.1,71.2,54.1,231,91.1,360,140,122,162,
H42_HBsAg_Time_Point_365_CD4 T cells.fcs,93.9,91.1,68.3,111,34.1,65.5,31.3,291,142,437,217,225,188,
Mean,,,,,,,,,,,,,,
SD,,,,,,,,,,,,,,
