,CD4,Treg,CD45RAneg_Treg,CD45RApos_Treg,CD137neg_CD45RAneg_Treg,CD137pos_CD45RAneg_Treg,CD137neg_CD45RApos_Treg,CD137pos_CD45RApos_Treg,CD137neg_CD45RAneg_Treg_CD137_MFI,CD137pos_CD45RAneg_Treg_CD137_MFI,CD137neg_CD45RAneg_Treg_CD25_MFI,CD137pos_CD45RAneg_Treg_CD25_MFI,CD137neg_CD45RAneg_Treg_CD127_MFI,CD137pos_CD45RAneg_Treg_CD127_MFI,CD137neg_CD45RAneg_Treg_CD154_MFI,CD137pos_CD45RAneg_Treg_CD154_MFI,
H41_NC_Time_Point_60_CD4 T cells.fcs,317919,20042,10313,9729,8332,1885,9496,223,337,4826,4082,8432,1536,1742,193,175,
H41_HBsAg_Time_Point_60_CD4 T cells.fcs,255051,15917,8375,7542,6672,1636,7021,504,325,5111,3853,7747,1390,1627,185,193,
H42_NC_Time_Point_60_CD4 T cells.fcs,268545,14072,8395,5677,7179,1152,5528,137,351,4519,3583,8590,2011,2627,204,180,
H42_HBsAg_Time_Point_60_CD4 T cells.fcs,295165,15229,8920,6309,7588,1281,5871,421,311,4592,3548,8168,1902,2501,193,177,
H02_NC_Time_Point_180_CD4 T cells.fcs,5.44E5,31525,14807,16718,10332,4311,16066,615,423,5317,3539,6232,1370,1461,196,238,
H02_PC_Time_Point_180_CD4 T cells.fcs,358395,44766,19087,25679,9362,9504,,,682,7038,3158,3931,1742,1606,17584,8117,
H02_HBsAg_Time_Point_180_CD4 T cells.fcs,5.88E5,33109,15366,17743,10626,4580,16859,841,443,5544,3513,6216,1337,1434,202,252,
H03_NC_Time_Point_180_CD4 T cells.fcs,4.32E5,29474,22050,7424,13260,8555,6888,504,432,6019,3574,6200,1786,2054,203,257,
H03_HBsAg_Time_Point_180_CD4 T cells.fcs,5.08E5,34678,25984,8694,15123,10541,7886,789,432,6199,3478,6104,1720,1922,204,263,
H04_NC_Time_Point_180_CD4 T cells.fcs,128362,6678,5152,1526,4121,994,1410,110,357,5138,3452,4852,1108,1330,171,263,
H04_HBsAg_Time_Point_180_CD4 T cells.fcs,131136,6725,5194,1531,4166,994,1407,118,380,5405,3443,4939,1077,1304,173,266,
H06_NC_Time_Point_180_CD4 T cells.fcs,334779,14763,10540,4223,6502,3928,4048,172,437,5656,3601,6041,1564,1808,203,257,
H06_HBsAg_Time_Point_180_CD4 T cells.fcs,334316,15286,10593,4693,6145,4346,4135,543,449,6119,3513,5901,1533,1768,184,262,
H07_NC_Time_Point_180_CD4 T cells.fcs,5.28E5,22178,14077,8102,11505,2462,7910,187,259,4699,3376,5780,1623,1922,200,249,
H07_HBsAg_Time_Point_180_CD4 T cells.fcs,4.51E5,17967,11347,6620,9163,2106,6384,228,291,4904,3213,5503,1539,1808,197,263,
H08_NC_Time_Point_180_CD4 T cells.fcs,4.63E5,29069,18336,10733,14900,3258,10544,179,391,4203,4705,8522,1702,1857,169,148,
H08_HBsAg_Time_Point_180_CD4 T cells.fcs,4.88E5,29872,18898,10974,14832,3884,10511,442,417,4339,4778,8343,1641,1838,175,152,
H10_NC_Time_Point_180_CD4 T cells.fcs,5.47E5,23864,12249,11615,8957,3173,11408,195,311,5029,3814,7350,1557,1793,184,214,
H10_HBsAg_Time_Point_180_CD4 T cells.fcs,5.65E5,24513,12492,12021,8665,3704,11678,326,365,5454,3814,7467,1474,1688,186,214,
H11_NC_Time_Point_180_CD4 T cells.fcs,388447,22397,13206,9191,8716,4356,8821,350,388,5760,3392,6088,1557,1857,191,247,
H11_HBsAg_Time_Point_180_CD4 T cells.fcs,5.90E5,33843,19833,14010,12720,6927,13139,824,400,6131,3376,6152,1502,1764,191,260,
H13_NC_Time_Point_180_CD4 T cells.fcs,6.12E5,39605,21789,17816,18215,3369,17563,226,345,4072,4082,7121,1717,1972,154,163,
H13_HBsAg_Time_Point_180_CD4 T cells.fcs,6.87E5,41398,22858,18540,16756,5859,17381,1100,409,5047,3931,6973,1659,1933,171,202,
H14_NC_Time_Point_180_CD4 T cells.fcs,374598,17650,9805,7845,6601,3073,7544,284,449,4913,5901,10242,1831,2197,156,154,
H14_HBsAg_Time_Point_180_CD4 T cells.fcs,4.01E5,18633,10188,8445,6694,3355,7714,709,484,4940,5947,10242,1760,2143,158,145,
H17_NC_Time_Point_180_CD4 T cells.fcs,4.27E5,25147,12876,12271,10323,2439,11874,372,308,5020,3786,6973,1738,2062,181,199,
H17_HBsAg_Time_Point_180_CD4 T cells.fcs,4.94E5,28407,14181,14226,10912,3140,13405,781,345,5534,3610,6515,1666,1983,181,242,
H18_NC_Time_Point_180_CD4 T cells.fcs,55587,1436,985,451,816,157,435,16.0,435,4691,3326,5503,1333,1581,169,232,
H18_HBsAg_Time_Point_180_CD4 T cells.fcs,145532,3708,2462,1246,2018,427,1188,56.0,420,4699,3486,5603,1403,1688,169,193,
H19_NC_Time_Point_180_CD4 T cells.fcs,330348,21040,13874,7166,9775,3947,6897,255,449,5298,3574,6088,1383,1557,189,231,
H19_HBsAg_Time_Point_180_CD4 T cells.fcs,4.03E5,24278,15571,8707,10517,4900,8119,559,478,5625,3556,5963,1400,1620,195,243,
H20_NC_Time_Point_180_CD4 T cells.fcs,5.71E5,26311,14982,11329,10808,4018,11094,226,380,5038,4197,8125,1602,1790,148,155,
H20_HBsAg_Time_Point_180_CD4 T cells.fcs,5.27E5,22836,12835,10001,8492,4203,9510,465,490,5584,4103,8211,1616,1838,152,166,
H21_NC_Time_Point_180_CD4 T cells.fcs,5.82E5,24447,14253,10194,8144,5956,9679,484,490,6108,3646,5545,1578,1746,217,297,
H21_HBsAg_Time_Point_180_CD4 T cells.fcs,5.82E5,22480,13309,9171,7268,5893,8623,515,498,6165,3655,5446,1592,1771,206,298,
H22_NC_Time_Point_180_CD4 T cells.fcs,137775,2923,1268,1655,906,326,1594,54.0,386,5931,1672,3674,199,414,21.4,99.4,
H22_HBsAg_Time_Point_180_CD4 T cells.fcs,36077,716,394,322,268,118,305,16.0,417,7104,1801,4283,504,777,120,247,
H23_NC_Time_Point_180_CD4 T cells.fcs,299849,16722,8461,8261,5762,2610,8044,203,452,5656,3824,6464,1606,1849,158,221,
H23_HBsAg_Time_Point_180_CD4 T cells.fcs,279831,15798,7602,8196,4779,2737,7725,449,487,6176,3833,6464,1557,1735,165,240,
H24_NC_Time_Point_180_CD4 T cells.fcs,309571,12633,8300,4333,6276,1930,4253,70.0,374,4800,3862,6811,1853,2256,181,217,
H24_HBsAg_Time_Point_180_CD4 T cells.fcs,4.37E5,16964,11138,5826,8205,2817,5507,308,377,4904,3872,7103,1906,2307,175,206,
H25_NC_Time_Point_180_CD4 T cells.fcs,370227,28398,13273,15125,10552,2549,14665,413,334,4783,2447,4952,1553,1742,243,254,
H25_HBsAg_Time_Point_180_CD4 T cells.fcs,375628,28423,12589,15834,9924,2510,14813,934,420,4896,2598,5308,1581,1812,225,246,
H26_NC_Time_Point_180_CD4 T cells.fcs,4.35E5,24600,18097,6503,12344,5573,6303,188,426,5493,3748,6705,1434,1749,174,225,
H26_HBsAg_Time_Point_180_CD4 T cells.fcs,4.36E5,23502,17175,6327,11668,5340,5898,415,455,5604,3805,6811,1488,1895,173,224,
H28_NC_Time_Point_180_CD4 T cells.fcs,294312,12306,8034,4272,6165,1752,4164,97.0,371,5464,2235,4348,786,1036,122,166,
H28_HBsAg_Time_Point_180_CD4 T cells.fcs,280776,10655,6752,3903,4388,2234,3643,241,449,6842,2121,3931,697,947,141,232,
H29_NC_Time_Point_180_CD4 T cells.fcs,320177,21207,16269,4938,9901,6164,4429,486,521,5615,3539,6152,795,1055,73.8,114,
H29_HBsAg_Time_Point_180_CD4 T cells.fcs,396354,25706,19394,6312,11058,8101,5002,1275,533,5953,3565,6168,786,1014,88.6,135,
H30_NC_Time_Point_180_CD4 T cells.fcs,388277,16610,13699,2911,8346,5232,2741,161,388,6445,3021,5720,1268,1663,203,290,
H30_PC_Time_Point_180_CD4 T cells.fcs,193125,13213,9333,3880,3752,5494,,,627,10365,2694,3951,1581,1670,14325,3050,
H30_HBsAg_Time_Point_180_CD4 T cells.fcs,4.05E5,16612,13496,3116,8362,4990,2922,182,406,5964,3059,5978,1265,1659,204,271,
H31_NC_Time_Point_180_CD4 T cells.fcs,5.17E5,24874,13089,11785,10631,2372,11576,196,299,4913,3213,7121,1484,1857,207,213,
H31_HBsAg_Time_Point_180_CD4 T cells.fcs,372772,17793,8864,8929,6659,2147,8466,437,351,5845,2849,6297,1278,1659,204,242,
H32_NC_Time_Point_180_CD4 T cells.fcs,387515,13112,11126,1986,8165,2850,1934,49.0,368,5405,3767,6992,1638,2011,209,231,
H32_HBsAg_Time_Point_180_CD4 T cells.fcs,356945,11950,10033,1917,6077,3852,1767,144,429,6829,3692,7047,1522,1779,214,288,
H33_NC_Time_Point_180_CD4 T cells.fcs,6.93E5,43406,31009,12397,23726,7000,12009,361,291,5222,3646,7066,1519,1801,178,231,
H33_HBsAg_Time_Point_180_CD4 T cells.fcs,5.90E5,35709,25229,10480,18623,6376,10009,443,325,5493,3720,6973,1474,1764,178,242,
H34_NC_Time_Point_180_CD4 T cells.fcs,4.01E5,18540,8541,9999,5279,3167,9197,766,463,5697,3729,6883,1749,2290,193,225,
H34_PC_Time_Point_180_CD4 T cells.fcs,119657,6334,2692,3642,884,1787,,,688,12070,2389,3334,1171,1413,57340,24385,
H34_HBsAg_Time_Point_180_CD4 T cells.fcs,5.01E5,23108,10303,12805,5444,4747,11016,1719,469,6753,3513,7103,1641,2127,209,252,
H35_NC_Time_Point_180_CD4 T cells.fcs,5.68E5,30046,20776,9270,15160,5423,9020,238,403,4975,3495,6265,1702,2015,202,227,
H35_HBsAg_Time_Point_180_CD4 T cells.fcs,5.49E5,28073,18556,9517,11582,6766,8651,827,360,6222,3539,6248,1543,1779,195,256,
H36_NC_Time_Point_180_CD4 T cells.fcs,392116,21850,9035,12815,7010,1932,12687,117,351,4616,3692,7311,1588,1895,203,206,
H36_HBsAg_Time_Point_180_CD4 T cells.fcs,4.29E5,23081,9400,13681,6926,2359,13408,253,279,5020,3824,7388,1602,1853,206,222,
H38_NC_Time_Point_180_CD4 T cells.fcs,251136,5716,3599,2117,2762,808,2065,45.0,299,5011,3277,6937,1557,1922,204,185,
H38_HBsAg_Time_Point_180_CD4 T cells.fcs,361203,8024,5143,2881,3763,1327,2742,132,337,5503,3253,6618,1461,1831,236,239,
H39_NC_Time_Point_180_CD4 T cells.fcs,4.39E5,18046,11984,6062,8347,3509,5877,175,397,4913,3478,5376,1702,2007,177,238,
H39_HBsAg_Time_Point_180_CD4 T cells.fcs,5.30E5,21488,14096,7392,8762,5181,6903,478,400,6008,3548,5855,1749,2127,188,267,
H40_NC_Time_Point_180_CD4 T cells.fcs,4.40E5,17219,8873,8346,7057,1746,8117,208,234,5102,3359,7626,1648,2090,228,215,
H40_HBsAg_Time_Point_180_CD4 T cells.fcs,5.26E5,20160,10323,9837,7171,3058,9138,668,262,6421,3059,7066,1430,1801,233,271,
H41_NC_Time_Point_180_CD4 T cells.fcs,4.18E5,24469,12411,12058,10179,2148,11779,263,288,4896,4134,10325,1602,1793,189,125,
H41_HBsAg_Time_Point_180_CD4 T cells.fcs,4.02E5,22763,11056,11707,8817,2151,11001,682,299,5232,4305,10270,1673,1887,192,141,
H42_NC_Time_Point_180_CD4 T cells.fcs,4.11E5,17417,11189,6228,9545,1557,6110,113,279,4370,3795,8892,1902,2416,175,144,
H42_HBsAg_Time_Point_180_CD4 T cells.fcs,360644,15216,9675,5541,8148,1454,5208,328,291,4408,3701,8410,1834,2251,170,151,
H02_NC_Time_Point_365_CD4 T cells.fcs,4.86E5,22374,11096,11278,6978,3982,10650,601,504,6008,3486,6200,1437,1543,221,262,
H02_HBsAg_Time_Point_365_CD4 T cells.fcs,4.05E5,19173,9260,9913,5412,3769,9123,746,542,6959,3556,6498,1488,1602,232,298,
H03_NC_Time_Point_365_CD4 T cells.fcs,238679,16993,11375,5618,7316,3933,5208,389,484,5464,3401,5886,1720,1948,217,281,
H03_HBsAg_Time_Point_365_CD4 T cells.fcs,211151,14600,9641,4959,5800,3732,4337,589,551,5920,3181,5240,1592,1782,238,306,
H04_NC_Time_Point_365_CD4 T cells.fcs,4.16E5,25422,20830,4592,14857,5741,4414,173,426,4878,4370,6955,1288,1526,181,228,
H04_PC_Time_Point_365_CD4 T cells.fcs,31923,2817,2400,417,1141,1243,,,662,8828,3112,4622,1288,1245,24746,1604,
H04_HBsAg_Time_Point_365_CD4 T cells.fcs,4.25E5,26430,21512,4918,14773,6501,4630,271,458,4993,4348,7010,1281,1526,170,213,
H06_NC_Time_Point_365_CD4 T cells.fcs,4.87E5,21583,15397,6186,8411,6833,5849,321,513,6505,3701,6056,1684,1831,218,301,
H06_HBsAg_Time_Point_365_CD4 T cells.fcs,274518,12126,8491,3635,5039,3350,3309,313,484,6131,3601,5840,1599,1746,218,283,
H07_NC_Time_Point_365_CD4 T cells.fcs,4.29E5,15564,11891,3673,8812,2973,3532,130,351,5260,3285,6120,1373,1742,227,262,
H07_PC_Time_Point_365_CD4 T cells.fcs,35291,3282,2374,908,1396,947,,,680,5444,2781,3376,1543,1526,39601,29793,
H07_HBsAg_Time_Point_365_CD4 T cells.fcs,4.41E5,15984,12262,3722,8741,3406,3507,208,420,5604,3310,6200,1390,1753,229,273,
H08_NC_Time_Point_365_CD4 T cells.fcs,4.13E5,18103,15394,2709,12560,2679,2620,84.0,386,4286,3739,7506,1360,1655,200,167,
H08_HBsAg_Time_Point_365_CD4 T cells.fcs,4.81E5,20757,17245,3512,13235,3851,3102,398,426,4666,3981,7727,1377,1738,188,169,
H10_NC_Time_Point_365_CD4 T cells.fcs,5.51E5,26212,14349,11863,10163,4044,11580,269,374,5337,3931,7447,1560,1868,180,218,
H10_HBsAg_Time_Point_365_CD4 T cells.fcs,5.80E5,26972,14841,12131,10103,4596,11778,336,365,5697,3814,7408,1478,1727,177,225,
H11_NC_Time_Point_365_CD4 T cells.fcs,5.29E5,31682,19640,12042,13566,5858,11691,334,371,5464,3513,7159,1515,1846,175,210,
H11_HBsAg_Time_Point_365_CD4 T cells.fcs,6.25E5,36713,22619,14094,15059,7332,13434,636,429,5666,3435,6865,1481,1782,182,225,
H13_NC_Time_Point_365_CD4 T cells.fcs,6.08E5,24120,11559,12561,9143,2304,12351,195,394,4354,3478,6104,1560,1883,163,182,
H13_HBsAg_Time_Point_365_CD4 T cells.fcs,5.92E5,22642,10652,11990,7532,2994,11284,671,420,5083,3418,5916,1488,1775,165,224,
H14_NC_Time_Point_365_R_CD4 T cells.fcs,28507,528,360,168,290,66.0,165,3.00,562,3981,4144,6532,1641,2209,160,170,
H14_HBsAg_Time_Point_365_R_CD4 T cells.fcs,44292,944,739,205,576,156,195,9.00,586,4559,4165,6901,1659,2350,184,214,
H17_NC_Time_Point_365_CD4 T cells.fcs,5.77E5,37935,18114,19821,14777,3214,19242,552,274,5166,3655,6775,1599,1842,173,196,
H17_HBsAg_Time_Point_365_CD4 T cells.fcs,5.13E5,33444,16048,17396,12520,3408,16175,1176,302,5584,3189,5886,1393,1567,178,236,
H18_NC_Time_Point_365_CD4 T cells.fcs,80952,3203,2125,1078,1768,342,1048,30.0,394,4699,3478,6216,1377,1560,188,182,
H18_HBsAg_Time_Point_365_CD4 T cells.fcs,66126,2498,1603,895,1288,301,856,37.0,388,5047,3530,6347,1400,1670,171,186,
H19_NC_Time_Point_365_CD4 T cells.fcs,263861,17934,12301,5633,8167,4007,5366,252,492,5513,3739,6281,1474,1641,196,246,
H19_HBsAg_Time_Point_365_CD4 T cells.fcs,385619,26796,19355,7441,12288,6856,6999,411,545,5781,3757,6600,1543,1757,203,236,
H20_NC_Time_Point_365_CD4 T cells.fcs,4.93E5,29956,16715,13241,12544,4015,12985,236,340,5120,4261,9059,1738,1880,156,139,
H20_HBsAg_Time_Point_365_CD4 T cells.fcs,5.47E5,31677,17580,14097,12823,4574,13737,336,337,5232,4283,8798,1666,1786,156,151,
H21_NC_Time_Point_365_CD4 T cells.fcs,4.08E5,19443,10944,8499,6582,4261,8101,377,475,5813,3767,5855,1691,1797,235,298,
H21_HBsAg_Time_Point_365_CD4 T cells.fcs,5.23E5,23234,13113,10121,7524,5454,9560,533,524,5877,3739,5750,1659,1786,231,296,
H22_NC_Time_Point_365_CD4 T cells.fcs,331327,13540,7032,6508,4297,2635,6245,241,391,6119,2741,6413,822,1187,136,177,
H22_HBsAg_Time_Point_365_CD4 T cells.fcs,5.92E5,24175,11609,12566,6625,4783,11477,999,446,6409,2668,5840,795,1099,128,206,
H23_NC_Time_Point_365_CD4 T cells.fcs,335448,23200,11518,11682,7677,3725,11443,222,368,5544,4041,6330,1620,1753,158,224,
H23_HBsAg_Time_Point_365_CD4 T cells.fcs,7.77E5,49302,23151,26151,14356,8561,25062,1030,466,6199,4001,6232,1519,1638,166,243,
H24_NC_Time_Point_365_CD4 T cells.fcs,4.11E5,21611,12377,9234,8794,3454,8967,247,337,5175,4011,7159,2031,2302,175,202,
H24_HBsAg_Time_Point_365_CD4 T cells.fcs,4.91E5,25370,13818,11552,9745,3912,10803,719,363,5289,4011,6973,1991,2256,178,218,
H25_NC_Time_Point_365_CD4 T cells.fcs,329389,24130,12146,11984,9662,2348,11560,386,328,4716,2701,5474,1648,1849,222,229,
H25_HBsAg_Time_Point_365_CD4 T cells.fcs,319267,22112,10527,11585,8228,2159,10515,1023,388,4966,2754,5589,1673,1872,228,236,
H26_NC_Time_Point_365_CD4 T cells.fcs,4.89E5,29538,21526,8012,13725,7606,7671,325,403,6052,4072,7707,1546,1827,195,229,
H26_HBsAg_Time_Point_365_CD4 T cells.fcs,259491,12443,9436,3007,5690,3659,2843,156,423,6326,3435,5870,1181,1223,110,150,
H28_NC_Time_Point_365_CD4 T cells.fcs,289309,13525,9156,4369,6408,2615,4198,155,403,5781,2630,4839,965,1143,108,160,
H28_PC_Time_Point_365_CD4 T cells.fcs,154892,27810,16042,11768,7417,8062,,,650,8136,2294,3007,1046,1159,26091,20219,
H28_HBsAg_Time_Point_365_CD4 T cells.fcs,347599,16400,10937,5463,6271,4455,4869,559,423,7578,2500,4634,880,1021,128,243,
H29_NC_Time_Point_365_CD4 T cells.fcs,251826,17926,13380,4546,8571,4642,4121,402,487,5337,3911,7029,850,1033,85.9,95.4,
H29_HBsAg_Time_Point_365_CD4 T cells.fcs,377638,25299,18274,7025,10591,7466,5620,1368,521,5953,4062,7586,907,1162,90.0,110,
H30_NC_Time_Point_365_CD4 T cells.fcs,4.97E5,19717,14223,5494,9406,4698,5062,418,340,6245,3135,6265,1454,1801,225,269,
H30_HBsAg_Time_Point_365_CD4 T cells.fcs,4.34E5,16018,11442,4576,7440,3891,4155,413,334,6030,3237,6297,1495,1819,224,263,
H31_NC_Time_Point_365_CD4 T cells.fcs,4.36E5,21236,12472,8764,9745,2630,8400,355,345,5092,3221,6740,1420,1764,207,202,
H31_HBsAg_Time_Point_365_CD4 T cells.fcs,5.52E5,25953,14715,11238,10379,4222,10188,1017,348,6445,3253,6740,1360,1655,214,239,
H32_NC_Time_Point_365_CD4 T cells.fcs,5.04E5,19261,16940,2321,11620,5142,2211,104,391,5534,3646,6865,1655,1925,221,250,
H32_HBsAg_Time_Point_365_CD4 T cells.fcs,4.08E5,16195,14077,2118,7628,6298,1767,342,435,7158,3486,6025,1471,1691,243,334,
H33_NC_Time_Point_365_CD4 T cells.fcs,4.79E5,33582,23798,9784,17952,5647,9378,386,302,5385,3911,7727,1564,1838,189,218,
H33_HBsAg_Time_Point_365_CD4 T cells.fcs,5.48E5,36142,25626,10516,18849,6563,10002,481,325,5564,3961,7506,1581,1812,185,225,
H34_NC_Time_Point_365_CD4 T cells.fcs,301130,17979,8861,9118,5359,3399,8240,842,475,5656,3720,7066,1887,2285,193,228,
H34_HBsAg_Time_Point_365_CD4 T cells.fcs,374862,22690,11008,11682,5590,5311,9486,2120,530,7185,3767,7254,1738,2164,210,269,
H35_NC_Time_Point_365_CD4 T cells.fcs,5.00E5,28653,20772,7881,14002,6561,7491,376,397,5298,3486,6072,1746,2023,211,245,
H35_HBsAg_Time_Point_365_CD4 T cells.fcs,6.31E5,37426,26619,10807,14969,11404,9339,1406,411,6702,3469,6072,1620,1819,215,286,
H36_NC_Time_Point_365_CD4 T cells.fcs,6.06E5,39399,17847,21552,13517,4151,21208,320,259,4835,3872,7159,1753,1983,210,228,
H36_HBsAg_Time_Point_365_CD4 T cells.fcs,6.18E5,38019,16464,21555,12245,4030,20982,527,237,5047,3805,7066,1652,1864,211,239,
H38_NC_Time_Point_365_CD4 T cells.fcs,363388,10164,6220,3944,4480,1685,3841,99.0,386,5002,3692,7427,1677,1995,200,188,
H38_HBsAg_Time_Point_365_CD4 T cells.fcs,5.17E5,13687,8146,5541,5630,2426,5280,251,360,5493,3318,6955,1474,1764,206,220,
H39_NC_Time_Point_365_CD4 T cells.fcs,5.01E5,27543,15965,11578,10073,5692,11079,470,426,5289,3601,5545,1868,2151,184,252,
H39_HBsAg_Time_Point_365_CD4 T cells.fcs,6.01E5,32934,19293,13641,10842,8277,12254,1343,461,6199,3628,5647,1834,2135,192,277,
H40_NC_Time_Point_365_CD4 T cells.fcs,4.91E5,23753,11921,11832,8765,3025,11216,575,311,5317,2977,5691,1550,1838,243,284,
H40_HBsAg_Time_Point_365_CD4 T cells.fcs,5.57E5,25722,13226,12496,8266,4790,10844,1569,345,6868,2794,5081,1620,2007,326,412,
H41_NC_Time_Point_365_CD4 T cells.fcs,4.05E5,27850,15005,12845,11597,3296,12439,377,262,5544,4337,9735,1645,1861,177,156,
H41_HBsAg_Time_Point_365_CD4 T cells.fcs,383117,25525,13836,11689,10010,3692,10790,869,331,5877,4449,9709,1652,1838,197,193,
H42_NC_Time_Point_365_CD4 T cells.fcs,238223,9555,5581,3974,4806,737,3890,78.0,239,4633,3757,7388,2095,2465,181,207,
H42_HBsAg_Time_Point_365_CD4 T cells.fcs,248216,10367,6072,4295,5073,947,3972,312,274,4608,3610,6883,1941,2346,193,233,
Mean,4.06E5,,,,,,,,,,,,,,,,
SD,156345,,,,,,,,,,,,,,,,
